id,paragraph,subject,item,tasktype,translation_type,len_sl_chr,len_tl_chr,len_sl_wrd,len_tl_wrd,edit_time,k_total,k_letter,k_digit,k_white,k_symbol,k_nav,k_erase,k_copy,k_cut,k_paste,k_do,np_300,lp_300,np_1000,lp_1000,ev_time_ms,num_annotations,Language
2br02b-T3-1-ht-19,19,T3,2br02b-T3-119,ht,ht,29,37,7,8,9651.694,7853,5637,3,1130,352,125,606,0,0,0,0,1742,169028143,579,168427588,181781561,7,NL
2br02b-T3-1-ht-20,20,T3,2br02b-T3-120,ht,ht,30,29,5,5,63.943,64,42,0,7,3,3,9,0,0,0,0,18,23758,5,17341,63943,3,NL
2br02b-T3-1-ht-21,21,T3,2br02b-T3-121,ht,ht,28,37,6,6,70.621,58,45,0,8,2,2,1,0,0,0,0,12,35832,5,32980,70621,2,NL
2br02b-T3-1-ht-22,22,T3,2br02b-T3-122,ht,ht,36,23,8,4,10.934,26,20,0,3,1,1,1,0,0,0,0,6,6555,1,3873,10934,1,NL
2br02b-T3-1-ht-23,23,T3,2br02b-T3-123,ht,ht,29,31,6,6,13.587,51,32,0,8,1,1,9,0,0,0,0,10,6800,2,2507,13587,1,NL
2br02b-T3-1-ht-24,24,T3,2br02b-T3-124,ht,ht,34,30,7,6,25.568,43,31,0,5,2,3,2,0,0,0,0,8,3609,0,0,25568,3,NL
2br02b-T3-1-ht-25,25,T3,2br02b-T3-125,ht,ht,140,139,26,23,118.38,175,125,0,26,8,7,9,0,0,0,0,30,56996,12,48500,118380,5,NL
2br02b-T3-1-ht-26,26,T3,2br02b-T3-126,ht,ht,135,139,25,23,388.506,199,142,0,24,12,8,13,0,0,0,0,47,291100,15,273943,388506,5,NL
2br02b-T3-1-ht-27,27,T3,2br02b-T3-127,ht,ht,44,50,8,8,40.509,83,55,0,10,5,5,8,0,0,0,0,18,18940,4,11363,40509,4,NL
2br02b-T3-1-ht-28,28,T3,2br02b-T3-128,ht,ht,172,196,30,32,278.753,291,220,0,36,6,9,20,0,0,0,0,56,129437,16,109485,278753,7,NL
2br02b-T3-1-ht-29,29,T3,2br02b-T3-129,ht,ht,286,325,53,49,1199.351,583,433,0,69,12,16,53,0,0,0,0,130,945086,66,913846,1199351,8,NL
2br02b-T3-1-ht-30,30,T3,2br02b-T3-130,ht,ht,86,84,16,14,71.84,176,122,0,27,4,2,21,0,0,0,0,30,35269,10,25917,71840,2,NL
2br02b-T3-1-ht-31,31,T3,2br02b-T3-131,ht,ht,143,161,27,31,605.837,306,217,0,43,8,10,28,0,0,0,0,69,457297,23,430993,605837,4,NL
2br02b-T3-1-ht-32,32,T3,2br02b-T3-132,ht,ht,61,65,11,12,73.75,161,120,0,24,3,4,10,0,0,0,0,30,27224,9,16617,73750,4,NL
2br02b-T3-1-ht-33,33,T3,2br02b-T3-133,ht,ht,162,180,30,32,154.117,242,176,0,35,10,3,18,0,0,0,0,48,97091,15,79983,154117,3,NL
2br02b-T3-1-ht-34,34,T3,2br02b-T3-134,ht,ht,57,64,10,10,102.792,93,65,0,12,6,4,6,0,0,0,0,22,82037,8,73787,102792,3,NL
2br02b-T3-1-ht-35,35,T3,2br02b-T3-135,ht,ht,36,44,7,8,11.539,46,33,0,8,4,1,0,0,0,0,0,8,5873,1,2034,11539,1,NL
2br02b-T3-1-ht-36,36,T3,2br02b-T3-136,ht,ht,255,283,44,45,570.045,381,287,0,54,13,4,23,0,0,0,0,73,451008,26,427922,570045,3,NL
2br02b-T3-1-ht-37,37,T3,2br02b-T3-137,ht,ht,30,30,9,9,28.558,36,17,3,8,4,2,2,0,0,0,0,16,15128,7,9746,28558,2,NL
2br02b-T3-1-ht-38,38,T3,2br02b-T3-138,ht,ht,281,287,32,33,3510.801,591,414,0,54,48,16,59,0,0,0,0,169,2931589,69,2881648,3510801,6,NL
2br02b-T3-1-ht-39,39,T3,2br02b-T3-139,ht,ht,113,110,21,17,112.164,139,102,0,19,3,2,13,0,0,0,0,36,48196,7,33801,112164,3,NL
2br02b-T3-1-ht-40,40,T3,2br02b-T3-140,ht,ht,117,149,23,27,429.849,333,253,0,47,10,6,17,0,0,0,0,71,366241,20,340544,429849,4,NL
2br02b-T3-1-ht-41,41,T3,2br02b-T3-141,ht,ht,159,169,26,27,209.155,263,184,0,33,15,6,25,0,0,0,0,60,140509,23,122621,209155,5,NL
2br02b-T3-1-ht-42,42,T3,2br02b-T3-142,ht,ht,171,205,32,35,600.398,309,221,0,45,6,13,24,0,0,0,0,69,232896,26,212080,600398,3,NL
2br02b-T3-1-ht-43,43,T3,2br02b-T3-143,ht,ht,33,54,6,10,19.601,76,56,0,12,1,1,6,0,0,0,0,13,10201,2,4890,19601,1,NL
2br02b-T3-1-ht-44,44,T3,2br02b-T3-144,ht,ht,103,98,16,17,63.623,164,116,0,25,4,9,10,0,0,0,0,28,36792,7,26716,63623,2,NL
2br02b-T3-1-ht-45,45,T3,2br02b-T3-145,ht,ht,213,217,36,36,982.629,282,205,0,40,12,3,22,0,0,0,0,67,951869,28,930566,982629,1,NL
2br02b-T3-1-ht-46,46,T3,2br02b-T3-146,ht,ht,147,135,26,21,516.064,182,134,0,24,3,2,19,0,0,0,0,54,492287,19,471909,516064,2,NL
2br02b-T3-1-ht-47,47,T3,2br02b-T3-147,ht,ht,236,274,39,47,631.749,501,361,0,67,9,8,56,0,0,0,0,95,543522,33,511472,631749,3,NL
2br02b-T3-1-ht-48,48,T3,2br02b-T3-148,ht,ht,62,58,12,12,54.577,94,64,0,15,4,2,9,0,0,0,0,13,17171,5,12371,54577,2,NL
2br02b-T3-1-ht-49,49,T3,2br02b-T3-149,ht,ht,100,107,20,21,119.141,150,106,0,22,8,3,11,0,0,0,0,31,87618,11,77178,119141,3,NL
2br02b-T3-1-ht-50,50,T3,2br02b-T3-150,ht,ht,103,117,19,21,54.958,167,117,0,23,8,1,18,0,0,0,0,42,35842,10,20253,54958,1,NL
2br02b-T3-1-ht-51,51,T3,2br02b-T3-151,ht,ht,31,42,6,7,560.348,118,75,0,12,7,7,17,0,0,0,0,28,538203,12,529502,560348,3,NL
2br02b-T3-1-ht-52,52,T3,2br02b-T3-152,ht,ht,17,5,3,1,28.857,27,9,0,3,4,2,9,0,0,0,0,12,13107,4,8106,28857,2,NL
2br02b-T3-1-ht-53,53,T3,2br02b-T3-153,ht,ht,19,21,4,4,19.009,25,14,0,5,4,1,1,0,0,0,0,7,15161,3,13377,19009,1,NL
2br02b-T3-1-ht-54,54,T3,2br02b-T3-154,ht,ht,84,93,14,16,56.163,105,76,0,15,9,4,1,0,0,0,0,22,26969,5,18390,56163,4,NL
2br02b-T3-1-ht-55,55,T3,2br02b-T3-155,ht,ht,288,343,51,65,601.018,528,381,0,82,20,3,42,0,0,0,0,107,336899,34,297427,601018,3,NL
2br02b-T3-1-ht-56,56,T3,2br02b-T3-156,ht,ht,110,134,20,21,263.234,181,137,0,23,9,2,10,0,0,0,0,35,232887,10,220618,263234,2,NL
2br02b-T3-1-ht-57,57,T3,2br02b-T3-157,ht,ht,189,221,36,36,558.222,290,214,0,41,11,5,19,0,0,0,0,61,500387,18,478183,558222,5,NL
2br02b-T3-1-ht-58,58,T3,2br02b-T3-158,ht,ht,121,130,21,23,153.202,163,115,0,25,11,1,11,0,0,0,0,43,81167,15,64143,153202,1,NL
2br02b-T3-1-ht-59,59,T3,2br02b-T3-159,ht,ht,395,416,76,75,862.952,691,494,0,101,19,3,74,0,0,0,0,162,779023,54,722196,862952,3,NL
2br02b-T3-1-ht-60,60,T3,2br02b-T3-160,ht,ht,95,101,16,18,109.73,131,91,0,20,12,2,6,0,0,0,0,34,78834,10,66669,109730,2,NL
2br02b-T3-1-ht-61,61,T3,2br02b-T3-161,ht,ht,27,34,5,6,16.31,43,29,0,5,4,1,4,0,0,0,0,14,9441,3,3486,16310,1,NL
2br02b-T3-1-ht-62,62,T3,2br02b-T3-162,ht,ht,59,75,10,14,44.465,89,60,0,14,12,3,0,0,0,0,0,19,19653,6,13206,44465,3,NL
2br02b-T4-1-pe-1,1,T4,2br02b-T4-11,pe,pe,6,6,1,1,5.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5281,1,NL
2br02b-T4-1-pe-2,2,T4,2br02b-T4-12,pe,pe,31,24,4,5,58.498,14,11,0,2,1,0,0,0,0,0,0,2,39521,2,39521,58498,1,NL
2br02b-T4-1-pe-3,3,T4,2br02b-T4-13,pe,pe,85,118,15,15,109.559,26,25,0,1,0,0,0,0,0,0,0,5,81811,3,80578,109559,2,NL
2br02b-T4-1-pe-4,4,T4,2br02b-T4-14,pe,pe,44,48,8,7,61.118,7,4,0,0,0,0,3,0,0,0,0,5,19471,5,19471,61118,2,NL
2br02b-T4-1-pe-5,5,T4,2br02b-T4-15,pe,pe,58,74,8,9,283.095,164,81,0,8,0,0,75,0,0,0,0,23,227700,5,217804,283095,2,NL
2br02b-T4-1-pe-6,6,T4,2br02b-T4-16,pe,pe,74,82,11,12,94.56,9,4,0,0,0,0,5,0,0,0,0,4,6982,2,5747,94560,1,NL
2br02b-T4-1-pe-7,7,T4,2br02b-T4-17,pe,pe,194,193,37,34,513.157,90,60,0,8,1,0,18,0,1,2,0,37,381990,23,375128,513157,2,NL
2br02b-T4-1-pe-8,8,T4,2br02b-T4-18,pe,pe,106,116,17,17,163.027,43,38,5,0,0,0,0,0,0,0,0,20,103916,5,96461,163027,2,NL
2br02b-T4-1-pe-9,9,T4,2br02b-T4-19,pe,pe,94,110,17,18,30.523,4,3,0,1,0,0,0,0,0,0,0,2,8447,1,7978,30523,1,NL
2br02b-T4-1-pe-10,10,T4,2br02b-T4-110,pe,pe,330,355,57,57,1038.478,168,108,0,14,3,0,43,0,0,0,0,54,839281,26,824575,1038478,6,NL
2br02b-T4-1-pe-11,11,T4,2br02b-T4-111,pe,pe,107,127,20,20,619.958,129,94,0,4,1,0,30,0,0,0,0,40,492985,15,480890,619958,4,NL
2br02b-T4-1-pe-12,12,T4,2br02b-T4-112,pe,pe,269,322,51,53,598.698,117,84,3,7,1,0,22,0,0,0,0,43,349577,21,338234,598698,6,NL
2br02b-T4-1-pe-13,13,T4,2br02b-T4-113,pe,pe,169,212,28,31,494.135,118,71,0,7,2,9,29,0,0,0,0,49,359031,31,349917,494135,4,NL
2br02b-T4-1-pe-14,14,T4,2br02b-T4-114,pe,pe,138,153,23,23,478.202,51,32,0,2,0,0,17,0,0,0,0,17,376522,9,373568,478202,3,NL
2br02b-T4-1-pe-15,15,T4,2br02b-T4-115,pe,pe,191,231,32,42,200.571,40,31,0,4,0,0,5,0,0,0,0,18,130628,7,125549,200571,4,NL
2br02b-T4-1-pe-16,16,T4,2br02b-T4-116,pe,pe,83,80,14,13,199.024,72,25,0,5,0,23,19,0,0,0,0,13,131889,7,129499,199024,5,NL
2br02b-T4-1-pe-17,17,T4,2br02b-T4-117,pe,pe,35,40,7,7,25.756,2,1,0,0,0,0,1,0,0,0,0,2,17097,1,16144,25756,1,NL
2br02b-T4-1-pe-18,18,T4,2br02b-T4-118,pe,pe,22,25,5,5,30.869,8,4,0,1,0,0,3,0,0,0,0,7,16569,4,14584,30869,1,NL
2br02b-T4-1-pe-19,19,T4,2br02b-T4-119,pe,pe,29,35,7,8,18.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18140,1,NL
2br02b-T4-1-pe-20,20,T4,2br02b-T4-120,pe,pe,30,43,5,8,99.625,33,24,0,4,1,0,4,0,0,0,0,12,64155,8,62269,99625,1,NL
2br02b-T4-1-pe-21,21,T4,2br02b-T4-121,pe,pe,28,32,6,6,28.56,9,9,0,0,0,0,0,0,0,0,0,5,16731,1,14899,28560,1,NL
2br02b-T4-1-pe-22,22,T4,2br02b-T4-122,pe,pe,36,42,8,8,144.772,166,78,0,17,0,9,62,0,0,0,0,40,53519,11,38416,144772,6,NL
2br02b-T4-1-pe-23,23,T4,2br02b-T4-123,pe,pe,29,29,6,5,184.262,18,11,0,0,0,0,7,0,0,0,0,8,75058,3,72749,184262,2,NL
2br02b-T4-1-pe-24,24,T4,2br02b-T4-124,pe,pe,34,40,7,8,981.1,115,59,0,9,0,6,41,0,0,0,0,40,155227,19,145734,981100,4,NL
2br02b-T4-1-pe-25,25,T4,2br02b-T4-125,pe,pe,140,141,26,26,74.43,11,1,0,0,4,0,6,0,0,0,0,9,19641,5,16906,74430,3,NL
2br02b-T4-1-pe-26,26,T4,2br02b-T4-126,pe,pe,135,163,25,29,187.996,23,16,0,2,2,0,3,0,0,0,0,12,127374,8,125858,187996,3,NL
2br02b-T4-1-pe-27,27,T4,2br02b-T4-127,pe,pe,44,41,8,7,29.469,12,10,0,2,0,0,0,0,0,0,0,4,18843,2,17750,29469,1,NL
2br02b-T4-1-pe-28,28,T4,2br02b-T4-128,pe,pe,172,179,30,30,222.138,27,22,0,2,0,0,3,0,0,0,0,12,157826,7,154514,222138,1,NL
2br02b-T4-1-pe-29,29,T4,2br02b-T4-129,pe,pe,286,311,53,52,275.974,68,31,0,4,2,0,31,0,0,0,0,24,148948,13,143289,275974,3,NL
2br02b-T4-1-pe-30,30,T4,2br02b-T4-130,pe,pe,86,93,16,17,114.733,45,35,0,1,2,0,7,0,0,0,0,23,79583,11,74639,114733,2,NL
2br02b-T4-1-pe-31,31,T4,2br02b-T4-131,pe,pe,143,174,27,33,71.979,25,12,0,3,2,0,8,0,0,0,0,13,32606,6,28509,71979,2,NL
2br02b-T4-1-pe-32,32,T4,2br02b-T4-132,pe,pe,61,60,11,11,52.98,53,18,0,5,2,0,28,0,0,0,0,13,23724,7,20288,52980,2,NL
2br02b-T4-1-pe-33,33,T4,2br02b-T4-133,pe,pe,162,176,30,34,199.929,147,69,0,15,5,0,58,0,0,0,0,38,95170,12,81614,199929,2,NL
2br02b-T4-1-pe-34,34,T4,2br02b-T4-134,pe,pe,57,53,10,10,42.362,19,12,0,2,4,0,1,0,0,0,0,10,24768,6,22892,42362,1,NL
2br02b-T4-1-pe-35,35,T4,2br02b-T4-135,pe,pe,36,39,7,7,581.679,19,15,0,3,0,0,1,0,0,0,0,6,11825,3,10699,581679,1,NL
2br02b-T4-1-pe-36,36,T4,2br02b-T4-136,pe,pe,255,236,44,42,671.672,48,29,0,1,6,0,12,0,0,0,0,30,644652,17,637737,671672,2,NL
2br02b-T4-1-pe-37,37,T4,2br02b-T4-137,pe,pe,30,28,9,9,21.638,3,0,0,1,0,0,2,0,0,0,0,3,9249,3,9249,21638,1,NL
2br02b-T4-1-pe-38,38,T4,2br02b-T4-138,pe,pe,281,248,32,31,1408.914,242,177,0,13,7,0,45,0,0,0,0,105,1320347,46,1292972,1408914,2,NL
2br02b-T4-1-pe-39,39,T4,2br02b-T4-139,pe,pe,113,112,21,17,39.281,6,1,0,0,2,0,3,0,0,0,0,6,21960,5,21224,39281,1,NL
2br02b-T4-1-pe-40,40,T4,2br02b-T4-140,pe,pe,117,131,23,27,451.93,79,49,0,9,5,0,16,0,0,0,0,31,408085,17,401412,451930,2,NL
2br02b-T4-1-pe-41,41,T4,2br02b-T4-141,pe,pe,159,139,26,23,748.237,73,50,0,6,5,0,12,0,0,0,0,28,500906,17,495098,748237,3,NL
2br02b-T4-1-pe-42,42,T4,2br02b-T4-142,pe,pe,171,186,32,30,509.254,95,61,0,9,3,5,17,0,0,0,0,30,408615,13,400476,509254,5,NL
2br02b-T4-1-pe-43,43,T4,2br02b-T4-143,pe,pe,33,31,6,6,15.358,3,3,0,0,0,0,0,0,0,0,0,2,5406,1,5046,15358,1,NL
2br02b-T4-1-pe-44,44,T4,2br02b-T4-144,pe,pe,103,98,16,17,9.747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9747,1,NL
2br02b-T4-1-pe-45,45,T4,2br02b-T4-145,pe,pe,213,241,36,38,2389.467,46,43,0,1,2,0,0,0,0,0,0,16,1898258,9,1894466,2389467,3,NL
2br02b-T4-1-pe-46,46,T4,2br02b-T4-146,pe,pe,147,162,26,26,580.253,73,56,0,5,0,0,12,0,0,0,0,28,515861,13,509625,580253,2,NL
2br02b-T4-1-pe-47,47,T4,2br02b-T4-147,pe,pe,236,256,39,44,196.801,63,43,0,9,0,0,11,0,0,0,0,13,111096,5,107007,196801,4,NL
2br02b-T4-1-pe-48,48,T4,2br02b-T4-148,pe,pe,62,47,12,9,35.295,29,5,0,0,2,20,2,0,0,0,0,5,22762,4,22059,35295,1,NL
2br02b-T4-1-pe-49,49,T4,2br02b-T4-149,pe,pe,100,99,20,21,156.816,156,67,0,16,4,6,63,0,0,0,0,32,92554,17,85715,156816,3,NL
2br02b-T4-1-pe-50,50,T4,2br02b-T4-150,pe,pe,103,105,19,19,74.724,50,21,0,3,4,0,22,0,0,0,0,16,46082,10,43957,74724,2,NL
2br02b-T4-1-pe-51,51,T4,2br02b-T4-151,pe,pe,31,43,6,7,18.326,4,0,0,0,2,0,2,0,0,0,0,4,10900,3,10181,18326,1,NL
2br02b-T4-1-pe-52,52,T4,2br02b-T4-152,pe,pe,17,14,3,3,12.561,4,0,0,0,2,0,2,0,0,0,0,4,8483,2,7061,12561,1,NL
2br02b-T4-1-pe-53,53,T4,2br02b-T4-153,pe,pe,19,28,4,5,9.734,4,0,0,0,2,0,2,0,0,0,0,4,6705,2,4831,9734,1,NL
2br02b-T4-1-pe-54,54,T4,2br02b-T4-154,pe,pe,84,76,14,15,305.806,76,27,0,4,5,0,40,0,0,0,0,21,271704,11,266266,305806,3,NL
2br02b-T4-1-pe-55,55,T4,2br02b-T4-155,pe,pe,288,340,51,59,464.31,214,87,0,17,9,1,100,0,0,0,0,62,357211,28,341755,464310,4,NL
2br02b-T4-1-pe-56,56,T4,2br02b-T4-156,pe,pe,110,137,20,23,159.895,88,50,0,5,4,1,28,0,0,0,0,29,135052,13,127835,159895,2,NL
2br02b-T4-1-pe-57,57,T4,2br02b-T4-157,pe,pe,189,218,36,33,656.579,251,162,0,27,9,10,41,0,0,0,2,62,492981,24,474013,656579,3,NL
2br02b-T4-1-pe-58,58,T4,2br02b-T4-158,pe,pe,121,148,21,24,336.735,123,85,0,6,2,10,20,0,0,0,0,32,269996,17,261893,336735,4,NL
2br02b-T4-1-pe-59,59,T4,2br02b-T4-159,pe,pe,395,435,76,84,614.243,205,96,0,17,6,16,68,0,1,1,0,64,474039,31,457104,614243,4,NL
2br02b-T4-1-pe-60,60,T4,2br02b-T4-160,pe,pe,95,96,16,17,123.642,54,33,0,5,0,0,16,0,0,0,0,12,100438,6,97718,123642,2,NL
2br02b-T4-1-pe-61,61,T4,2br02b-T4-161,pe,pe,27,35,5,6,71.06,79,33,0,4,3,7,32,0,0,0,0,15,29286,6,24796,71060,3,NL
2br02b-T4-1-pe-62,62,T4,2br02b-T4-162,pe,pe,59,65,10,12,228.358,42,21,0,2,5,0,14,0,0,0,0,19,35752,8,30393,228358,5,NL
2br02b-T4-2-ht-1,63,T4,2br02b-T4-21,ht,ht,34,46,7,9,68.582,58,34,0,8,10,0,6,0,0,0,0,24,55236,9,47298,68582,1,NL
2br02b-T4-2-ht-2,64,T4,2br02b-T4-22,ht,ht,282,276,47,42,395.748,281,221,0,41,16,0,3,0,0,0,0,70,302944,22,279775,395748,1,NL
2br02b-T4-2-ht-3,65,T4,2br02b-T4-23,ht,ht,144,126,26,24,276.09,132,97,0,23,9,0,3,0,0,0,0,37,217008,11,204053,276090,2,NL
2br02b-T4-2-ht-4,66,T4,2br02b-T4-24,ht,ht,142,161,28,29,261.098,180,140,0,30,6,0,4,0,0,0,0,41,200379,9,185007,261098,3,NL
2br02b-T4-2-ht-5,67,T4,2br02b-T4-25,ht,ht,194,193,32,28,292.839,203,166,0,27,5,0,5,0,0,0,0,67,245395,20,222343,292839,2,NL
2br02b-T4-2-ht-6,68,T4,2br02b-T4-26,ht,ht,163,157,31,28,129.551,191,128,0,29,14,6,14,0,0,0,0,45,56868,18,43613,129551,4,NL
2br02b-T4-2-ht-7,69,T4,2br02b-T4-27,ht,ht,65,58,12,9,31.219,58,46,0,8,4,0,0,0,0,0,0,8,14262,2,11015,31219,1,NL
2br02b-T4-2-ht-8,70,T4,2br02b-T4-28,ht,ht,68,67,11,11,106.879,93,61,0,12,7,0,13,0,0,0,0,29,63149,11,53354,106879,2,NL
2br02b-T4-2-ht-9,71,T4,2br02b-T4-29,ht,ht,51,58,12,14,28.996,58,41,0,13,4,0,0,0,0,0,0,12,16280,6,13609,28996,1,NL
2br02b-T4-2-ht-10,72,T4,2br02b-T4-210,ht,ht,140,112,26,20,110.72,123,92,0,19,8,0,4,0,0,0,0,32,72245,11,61115,110720,2,NL
2br02b-T4-2-ht-11,73,T4,2br02b-T4-211,ht,ht,109,109,21,21,59.428,113,86,0,20,5,0,2,0,0,0,0,24,39328,8,30477,59428,1,NL
2br02b-T4-2-ht-12,74,T4,2br02b-T4-212,ht,ht,20,21,4,4,46.305,31,17,0,4,5,0,5,0,0,0,0,12,31829,6,28776,46305,2,NL
2br02b-T4-2-ht-13,75,T4,2br02b-T4-213,ht,ht,20,24,3,4,15.187,24,17,0,3,4,0,0,0,0,0,0,7,9296,2,6031,15187,1,NL
2br02b-T4-2-ht-14,76,T4,2br02b-T4-214,ht,ht,81,88,12,13,168.38,88,71,0,12,5,0,0,0,0,0,0,18,151874,7,145882,168380,1,NL
2br02b-T4-2-ht-15,77,T4,2br02b-T4-215,ht,ht,192,205,34,34,401.565,225,184,0,34,3,0,4,0,0,0,0,47,294332,19,281490,401565,3,NL
2br02b-T4-2-ht-16,78,T4,2br02b-T4-216,ht,ht,58,51,9,7,42.338,65,47,0,7,4,0,7,0,0,0,0,18,13311,4,6867,42338,2,NL
2br02b-T4-2-ht-17,79,T4,2br02b-T4-217,ht,ht,88,106,17,19,86.7,125,92,0,19,7,0,7,0,0,0,0,37,56468,12,43208,86700,2,NL
2br02b-T4-2-ht-18,80,T4,2br02b-T4-218,ht,ht,179,215,30,37,396.974,232,179,0,37,10,0,6,0,0,0,0,57,170722,25,155307,396974,3,NL
2br02b-T4-2-ht-19,81,T4,2br02b-T4-219,ht,ht,133,158,21,27,211.719,197,145,0,28,11,0,13,0,0,0,0,61,167505,15,142897,211719,2,NL
2br02b-T4-2-ht-20,82,T4,2br02b-T4-220,ht,ht,109,121,20,22,7913.902,5893,4409,7,916,273,37,251,0,0,0,0,1576,8315266,478,7794801,9421266,6,NL
2br02b-T4-2-ht-21,83,T4,2br02b-T4-221,ht,ht,53,47,10,9,40.903,55,37,0,9,8,0,1,0,0,0,0,22,17874,4,9388,40903,2,NL
2br02b-T4-2-ht-22,84,T4,2br02b-T4-222,ht,ht,34,34,5,5,28.007,38,28,0,4,4,0,2,0,0,0,0,14,13879,3,7960,28007,2,NL
2br02b-T4-2-ht-23,85,T4,2br02b-T4-223,ht,ht,147,134,30,27,7346.143,5588,4204,7,878,252,45,202,0,0,0,0,1487,7057905,451,6567736,8719439,8,NL
2br02b-T4-2-ht-24,86,T4,2br02b-T4-224,ht,ht,31,35,4,6,32.35,35,26,0,5,4,0,0,0,0,0,0,17,22090,4,16064,32350,1,NL
2br02b-T4-2-ht-25,87,T4,2br02b-T4-225,ht,ht,44,35,8,7,25.062,35,25,0,6,4,0,0,0,0,0,0,12,13749,4,9670,25062,1,NL
2br02b-T4-2-ht-26,88,T4,2br02b-T4-226,ht,ht,287,316,52,55,295.953,339,262,0,56,10,0,11,0,0,0,0,83,246875,29,222194,295953,1,NL
2br02b-T4-2-ht-27,89,T4,2br02b-T4-227,ht,ht,126,135,20,22,1143.829,137,109,0,21,6,0,1,0,0,0,0,43,1083629,9,1068032,1143829,2,NL
2br02b-T4-2-ht-28,90,T4,2br02b-T4-228,ht,ht,51,46,8,8,109.404,55,43,0,7,5,0,0,0,0,0,0,19,64029,3,56517,109404,2,NL
2br02b-T4-2-ht-29,91,T4,2br02b-T4-229,ht,ht,245,258,44,42,5593.772,9586,7260,14,1491,420,74,327,0,0,0,0,1272,5887550,387,5468452,6840828,7,NL
2br02b-T4-2-ht-30,92,T4,2br02b-T4-230,ht,ht,29,33,4,4,70.021,43,31,0,3,4,0,5,0,0,0,0,20,46236,9,40380,70021,2,NL
2br02b-T4-2-ht-31,93,T4,2br02b-T4-231,ht,ht,260,290,46,46,5140.327,4667,3527,7,727,203,37,166,0,0,0,0,1166,4772739,354,4391189,5679662,6,NL
2br02b-T4-2-ht-32,94,T4,2br02b-T4-232,ht,ht,56,56,11,10,4926.479,4115,3093,7,644,180,37,154,0,0,0,0,1069,4571700,328,4226361,5421172,4,NL
2br02b-T4-2-ht-33,95,T4,2br02b-T4-233,ht,ht,293,319,49,56,442.986,368,271,4,58,13,0,22,0,0,0,0,90,364748,29,335285,442986,2,NL
2br02b-T4-2-ht-34,96,T4,2br02b-T4-234,ht,ht,70,64,13,12,4858.74,3716,2796,3,582,172,37,126,0,0,0,0,973,4100775,299,3787258,4680792,3,NL
2br02b-T4-2-ht-35,97,T4,2br02b-T4-235,ht,ht,55,71,10,12,34.285,71,53,0,11,7,0,0,0,0,0,0,19,19574,4,13306,34285,1,NL
2br02b-T4-2-ht-36,98,T4,2br02b-T4-236,ht,ht,59,58,10,10,56.949,60,46,0,9,4,0,1,0,0,0,0,16,29797,3,22971,56949,2,NL
2br02b-T4-2-ht-37,99,T4,2br02b-T4-237,ht,ht,107,100,16,17,169.67,122,91,0,18,4,0,9,0,0,0,0,42,119128,12,104499,169670,2,NL
2br02b-T4-2-ht-38,100,T4,2br02b-T4-238,ht,ht,57,51,10,10,50.354,67,46,0,10,4,0,7,0,0,0,0,19,25410,6,18820,50354,2,NL
2br02b-T4-2-ht-39,101,T4,2br02b-T4-239,ht,ht,22,18,4,3,20.764,18,12,0,2,4,0,0,0,0,0,0,12,14976,5,10711,20764,1,NL
2br02b-T4-2-ht-40,102,T4,2br02b-T4-240,ht,ht,118,117,20,20,94.617,131,99,0,22,7,0,3,0,0,0,0,37,55912,10,43872,94617,2,NL
2br02b-T4-2-ht-41,103,T4,2br02b-T4-241,ht,ht,231,240,36,35,627.771,259,199,0,36,16,0,8,0,0,0,0,79,573954,27,548749,627771,1,NL
2br02b-T4-2-ht-42,104,T4,2br02b-T4-242,ht,ht,48,42,8,8,35.453,42,31,0,7,4,0,0,0,0,0,0,9,15657,2,11671,35453,2,NL
2br02b-T4-2-ht-43,105,T4,2br02b-T4-243,ht,ht,442,501,81,87,3291.223,3400,2557,3,535,129,44,132,0,0,0,0,739,2891159,235,2658690,3566163,6,NL
2br02b-T4-2-ht-44,106,T4,2br02b-T4-244,ht,ht,21,24,3,3,90.264,40,29,0,2,1,0,8,0,0,0,0,13,58019,3,54080,90264,2,NL
2br02b-T4-2-ht-45,107,T4,2br02b-T4-245,ht,ht,65,80,13,13,2802.137,4640,3476,6,732,173,60,193,0,0,0,0,563,2678714,179,2502236,3030013,3,NL
2br02b-T4-2-ht-46,108,T4,2br02b-T4-246,ht,ht,76,93,14,19,109.645,117,79,0,19,7,0,12,0,0,0,0,40,45552,13,33637,109645,2,NL
2br02b-T4-2-ht-47,109,T4,2br02b-T4-247,ht,ht,100,122,20,23,251.419,207,121,0,26,11,14,35,0,0,0,0,66,194471,28,174941,251419,3,NL
2br02b-T4-2-ht-48,110,T4,2br02b-T4-248,ht,ht,68,100,13,17,107.715,132,95,0,19,2,0,16,0,0,0,0,32,58964,12,49880,107715,2,NL
2br02b-T4-2-ht-49,111,T4,2br02b-T4-249,ht,ht,56,68,8,10,28.035,68,57,0,9,2,0,0,0,0,0,0,9,14478,3,12222,28035,1,NL
2br02b-T4-2-ht-50,112,T4,2br02b-T4-250,ht,ht,91,85,16,14,124.124,115,83,0,16,1,0,15,0,0,0,0,34,104413,10,93472,124124,1,NL
