paragraph_id,Ins,Del,Sub,Shft,WdSh,NumEr,NumWd,TER,modality,language,translator
118               ,1,0,15,2,2,18,28,64.29,HT,NL,T4
119               ,0,0,6,1,1,7,11,63.64,HT,NL,T4
120               ,1,2,6,1,1,10,12,83.33,HT,NL,T4
121               ,0,6,11,4,4,21,26,80.77,HT,NL,T4
122               ,1,1,10,1,1,13,18,72.22,HT,NL,T4
123               ,2,0,10,0,0,12,28,42.86,HT,NL,T4
1                 ,0,0,0,0,0,0,1,0.00,PE,NL,T4
2                 ,0,1,3,0,0,4,6,66.67,PE,NL,T4
3                 ,1,1,3,0,0,5,15,33.33,PE,NL,T4
4                 ,0,1,2,0,0,3,8,37.50,PE,NL,T4
5                 ,1,2,4,0,0,7,10,70.00,PE,NL,T4
6                 ,0,0,1,0,0,1,12,8.33,PE,NL,T4
7                 ,0,5,7,6,7,18,39,46.15,PE,NL,T4
8                 ,0,0,1,0,0,1,17,5.88,PE,NL,T4
9                 ,1,0,0,0,0,1,17,5.88,PE,NL,T4
10                ,0,0,9,2,2,11,57,19.30,PE,NL,T4
11                ,0,2,6,0,0,8,22,36.36,PE,NL,T4
12                ,1,5,11,2,5,19,57,33.33,PE,NL,T4
13                ,0,4,8,1,1,13,35,37.14,PE,NL,T4
14                ,0,1,4,0,0,5,24,20.83,PE,NL,T4
15                ,3,1,5,0,0,9,40,22.50,PE,NL,T4
16                ,0,0,3,1,2,4,13,30.77,PE,NL,T4
17                ,0,0,1,0,0,1,7,14.29,PE,NL,T4
18                ,0,0,2,0,0,2,5,40.00,PE,NL,T4
19                ,0,0,0,0,0,0,8,0.00,PE,NL,T4
20                ,3,0,3,0,0,6,5,120.00,PE,NL,T4
21                ,0,0,1,0,0,1,6,16.67,PE,NL,T4
22                ,0,1,4,0,0,5,9,55.56,PE,NL,T4
23                ,0,2,2,0,0,4,7,57.14,PE,NL,T4
24                ,0,2,5,1,1,8,10,80.00,PE,NL,T4
25                ,0,0,6,0,0,6,26,23.08,PE,NL,T4
26                ,0,2,8,0,0,10,31,32.26,PE,NL,T4
27                ,0,2,4,0,0,6,9,66.67,PE,NL,T4
28                ,0,0,1,0,0,1,30,3.33,PE,NL,T4
29                ,1,4,5,1,1,11,55,20.00,PE,NL,T4
30                ,0,0,5,1,1,6,17,35.29,PE,NL,T4
31                ,0,0,6,0,0,6,33,18.18,PE,NL,T4
32                ,0,1,6,0,0,7,12,58.33,PE,NL,T4
33                ,4,0,12,0,0,16,30,53.33,PE,NL,T4
34                ,1,1,3,0,0,5,10,50.00,PE,NL,T4
35                ,0,0,3,0,0,3,7,42.86,PE,NL,T4
36                ,1,0,4,1,1,6,41,14.63,PE,NL,T4
37                ,1,0,3,0,0,4,8,50.00,PE,NL,T4
38                ,2,0,20,1,1,23,29,79.31,PE,NL,T4
39                ,0,3,2,0,0,5,20,25.00,PE,NL,T4
40                ,1,2,10,0,0,13,28,46.43,PE,NL,T4
41                ,1,2,13,1,1,17,24,70.83,PE,NL,T4
42                ,0,7,13,4,6,24,37,64.87,PE,NL,T4
43                ,0,0,1,0,0,1,6,16.67,PE,NL,T4
44                ,0,0,0,0,0,0,17,0.00,PE,NL,T4
45                ,1,0,6,0,0,7,37,18.92,PE,NL,T4
46                ,1,2,7,1,1,11,27,40.74,PE,NL,T4
47                ,0,1,3,0,0,4,45,8.89,PE,NL,T4
48                ,0,0,2,0,0,2,9,22.22,PE,NL,T4
49                ,1,0,12,2,2,15,20,75.00,PE,NL,T4
50                ,0,4,8,0,0,12,23,52.17,PE,NL,T4
51                ,0,0,2,0,0,2,7,28.57,PE,NL,T4
52                ,0,0,1,0,0,1,3,33.33,PE,NL,T4
53                ,0,0,2,0,0,2,5,40.00,PE,NL,T4
54                ,0,2,5,0,0,7,17,41.18,PE,NL,T4
55                ,1,5,23,0,0,29,63,46.03,PE,NL,T4
56                ,3,0,5,0,0,8,20,40.00,PE,NL,T4
57                ,2,2,14,2,3,20,33,60.61,PE,NL,T4
58                ,0,13,6,4,4,23,37,62.16,PE,NL,T4
59                ,1,1,28,1,2,31,84,36.91,PE,NL,T4
60                ,1,0,4,1,1,6,16,37.50,PE,NL,T4
61                ,0,1,3,0,0,4,7,57.14,PE,NL,T4
62                ,0,0,5,0,0,5,12,41.67,PE,NL,T4
63                ,0,0,4,0,0,4,7,57.14,PE,NL,T3
64                ,1,7,9,2,3,19,43,44.19,PE,NL,T3
65                ,1,2,7,1,1,11,27,40.74,PE,NL,T3
66                ,4,1,9,1,1,15,30,50.00,PE,NL,T3
67                ,2,5,7,0,0,14,33,42.42,PE,NL,T3
68                ,5,0,14,1,1,20,29,68.97,PE,NL,T3
69                ,1,0,5,0,0,6,10,60.00,PE,NL,T3
70                ,0,6,7,1,1,14,18,77.78,PE,NL,T3
71                ,0,0,7,0,0,7,13,53.85,PE,NL,T3
72                ,1,1,17,0,0,19,31,61.29,PE,NL,T3
73                ,3,0,5,1,1,9,22,40.91,PE,NL,T3
74                ,0,2,2,0,0,4,6,66.67,PE,NL,T3
75                ,0,1,2,0,0,3,3,100.00,PE,NL,T3
76                ,4,0,5,1,1,10,12,83.33,PE,NL,T3
77                ,3,1,9,1,1,14,37,37.84,PE,NL,T3
78                ,1,0,2,0,0,3,8,37.50,PE,NL,T3
79                ,1,1,7,0,0,9,21,42.86,PE,NL,T3
80                ,1,3,19,3,3,26,37,70.27,PE,NL,T3
81                ,0,3,8,3,3,14,31,45.16,PE,NL,T3
82                ,0,0,2,0,0,2,22,9.09,PE,NL,T3
83                ,0,0,1,0,0,1,11,9.09,PE,NL,T3
84                ,0,0,0,0,0,0,5,0.00,PE,NL,T3
85                ,0,3,13,1,1,17,33,51.52,PE,NL,T3
86                ,2,0,1,0,0,3,4,75.00,PE,NL,T3
87                ,0,0,1,0,0,1,8,12.50,PE,NL,T3
88                ,6,5,16,4,5,31,54,57.41,PE,NL,T3
89                ,2,0,6,0,0,8,21,38.10,PE,NL,T3
90                ,0,1,4,0,0,5,8,62.50,PE,NL,T3
91                ,3,3,6,1,1,13,42,30.95,PE,NL,T3
92                ,0,0,1,0,0,1,4,25.00,PE,NL,T3
93                ,0,4,25,5,6,34,49,69.39,PE,NL,T3
94                ,0,0,2,0,0,2,9,22.22,PE,NL,T3
95                ,6,3,22,5,5,36,53,67.93,PE,NL,T3
96                ,0,1,4,0,0,5,12,41.67,PE,NL,T3
97                ,2,0,5,0,0,7,9,77.78,PE,NL,T3
98                ,0,0,1,0,0,1,10,10.00,PE,NL,T3
99                ,1,3,8,1,1,13,22,59.09,PE,NL,T3
100               ,0,1,0,0,0,1,12,8.33,PE,NL,T3
